Pass or Fail,Found or not,Page,Search Term,Position found,Position wanted
FAIL,FOUND,/apply-online-to-replace-a-driving-licence,lost passport,4,> 10
PASS,FOUND,/state-pension-age,state pension entitlement,1,<= 3
PASS,FOUND,/state-pension-age,state pension,1,<= 3
FAIL,FOUND,/state-pension-age,pension entitlements,5,<= 3
PASS,FOUND,/state-pension-age,when will i get a state pension,2,<= 3
PASS,FOUND,/state-pension-age,pension age,1,<= 3
PASS,FOUND,/state-pension-age,pensions,1,<= 3
PASS,FOUND,/state-pension-age,pension,1,<= 3
PASS,FOUND,/state-pension-age,pensionable age,1,<= 3
FAIL,FOUND,/state-pension-age,pension entitlement,5,<= 3
PASS,FOUND,/state-pension-age,age at which pension is payable,1,<= 3
PASS,FOUND,/state-pension-age,when can i retire,1,<= 3
PASS,FOUND,/state-pension-age,state pension age,1,<= 1
PASS,FOUND,/bank-holidays,bank holiday,1,<= 3
PASS,FOUND,/bank-holidays,bank holidays,1,<= 3
PASS,FOUND,/bank-holidays,next bank holiday,1,<= 1
FAIL,FOUND,/bank-holidays,the date of the next bank holiday,2,<= 1
FAIL,FOUND,/bank-holidays,bank holiday dates,5,<= 3
FAIL,FOUND,/bank-holidays,whats the next bank holiday,2,<= 1
FAIL,FOUND,/bank-holidays,what date and day is the next bank holiday,6,<= 1
PASS,FOUND,/bank-holidays,what will be the date of the next bank holiday,1,<= 1
FAIL,FOUND,/bank-holidays,what date is the next bank holiday,2,<= 1
FAIL,FOUND,/bank-holidays,date of next bank holiday,2,<= 1
FAIL,FOUND,/bank-holidays,national holiday dates,10,<= 3
PASS,FOUND,/bank-holidays,next bank holiday in the uk,1,<= 1
PASS,FOUND,/bank-holidays,uk bank holidays,1,<= 1
PASS,FOUND,/bank-holidays,bank holidays uk,1,<= 3
PASS,FOUND,/bank-holidays,public holidays,1,<= 3
PASS,FOUND,/bank-holidays,when is the next bank holiday,1,<= 1
FAIL,FOUND,/bank-holidays,what is the date of the next bank holiday,2,<= 1
FAIL,FOUND,/bank-holidays,dates of bank holidays,5,<= 1
FAIL,NOT FOUND,/overseas-passports,lost passport,0,<= 5
FAIL,NOT FOUND,/overseas-passports,lost passports,0,<= 5
FAIL,FOUND,/overseas-passports,replace lost passport,9,<= 5
PASS,FOUND,/overseas-passports,replacement passport,5,<= 5
FAIL,FOUND,/overseas-passports,passport loss,8,<= 5
